Name,SHA1,Product,Description,ProductVersion,FileVersion,MachineType,Category,Usecase,LolDriversUrl
HWiNFO32.SYS,9917a514887f4cbdfb0aa3a61b9b2988d9be80c6,HWiNFO32 Kernel Driver,HWiNFO32 Kernel Driver,7.70,7.70 built by: WinDDK,IA64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/2225128d-a23f-434a-aaee-69a88ea64fbd/
HWiNFO32.SYS,7a6bc9fc1eb4900039ee88e099e90fc19e248257,HWiNFO32 Kernel Driver,HWiNFO32 Kernel Driver,7.20,7.20 built by: WinDDK,IA64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/2225128d-a23f-434a-aaee-69a88ea64fbd/
HWiNFO32.SYS,4146c0612ec8de7a98e20d181312b5a4ef139227,HWiNFO32 Kernel Driver,HWiNFO32 Kernel Driver,7.90,7.90 built by: WinDDK,IA64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/2225128d-a23f-434a-aaee-69a88ea64fbd/
HWiNFO32.SYS,712c1d34ea7883e79bc5714d14065a27607fe219,HWiNFO32 Kernel Driver,HWiNFO32 Kernel Driver,7.50,7.50 built by: WinDDK,IA64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/2225128d-a23f-434a-aaee-69a88ea64fbd/
HWiNFO32.SYS,61c88c44d20e79c5d39109d1d91ac8e9ed3c46ad,HWiNFO32 Kernel Driver,HWiNFO32 Kernel Driver,8.30,8.30 built by: WinDDK,IA64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/2225128d-a23f-434a-aaee-69a88ea64fbd/
HWiNFO32.SYS,cc48296d367e57a6523be40237f4a5ec6cc3d1a5,HWiNFO32 Kernel Driver,HWiNFO32 Kernel Driver,7.30,7.30 built by: WinDDK,IA64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/2225128d-a23f-434a-aaee-69a88ea64fbd/
BdApiUtil.sys,2d0a8394180e728755e8e13547d572c9e89b7262,Baidu Antivirus,Baidu Antivirus BdApi Driver,"5,2,3,116083","5,2,3,116083",AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/708650ed-c497-48be-97bc-9edd48cf2a1a/
dbutil_2_3.sys,c948ae14761095e4d76b55d9de86412258be7afd,,,,,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/a4eabc75-edf6-4b74-9a24-6a26187adabf/
dbutil_2_3.sys,c948ae14761095e4d76b55d9de86412258be7afd,,,,,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/a4eabc75-edf6-4b74-9a24-6a26187adabf/
dbutil_2_3.sys,c6920171fa6dff2c17eb83befb5fd28e8dddf5f0,,,,,I386,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/a4eabc75-edf6-4b74-9a24-6a26187adabf/
dbutil_2_3.sys,10b30bdee43b3a2ec4aa63375577ade650269d25,,,,,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/a4eabc75-edf6-4b74-9a24-6a26187adabf/
GVCIDrv64.sys,e92817a8744ebc4e4fa5383cdce2b2977f01ecd4,,,,,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/7c83cb1a-a5ab-4ea0-aa69-0e9a1d09a82f/
8492937_2_Driver.sys,0ffbfa08d0ebbe245e77ceb97abb6ae5261cb6c8,,,,,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/c95a796a-a8f6-4cfa-bc42-4936ecb59091/
BS_HWMIO64_W10.sys,cb3de54667548a5c9abf5d8fa47db4097fcee9f1,BIOSTAR I/O driver,I/O Interface driver file,"10, 0, 1806, 2200","10, 0, 1806, 2200",AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/a66d0413-cc82-4f1e-bcf1-0dcf9d79f6c0/
DcProtect.sys,da689e8e0e3fc4c7114b44d185eef4c768e15946,DcProtect (R) Win10x64 driver ,DcProtect Driver,1.2.0.0,1.2.0.0,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/7cee2ce8-7881-4a9a-bb18-61587c95f4a2/
DcProtect.sys,5499f1bca93a3613428e8c18ac93a93b9a7249fb,DcProtect (R) Win10x86 driver ,DcProtect Driver,1.2.0.0,1.2.0.0,I386,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/7cee2ce8-7881-4a9a-bb18-61587c95f4a2/
DcProtect.sys,a71c17bfeefd76a9f89e74a52a2b6fdd3efbabe2,DcProtect (R) Win8.1x64 driver ,DcProtect Driver,1.2.0.0,1.2.0.0,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/7cee2ce8-7881-4a9a-bb18-61587c95f4a2/
DcProtect.sys,ba5b4eaa7cab012b71a8a973899eeee47a12becc,DcProtect (R) Win8.1x86 driver ,DcProtect Driver,1.2.0.0,1.2.0.0,I386,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/7cee2ce8-7881-4a9a-bb18-61587c95f4a2/
DcProtect.sys,47830d6d3ee2d2a643abf46a72738d77f14114bc,DcProtect (R) Win8x64 driver ,DcProtect Driver,1.2.0.0,1.2.0.0,AMD64,vulnerable driver,Elevate privileges,https://www.loldrivers.io/drivers/7cee2ce8-7881-4a9a-bb18-61587c95f4a2/
