DllName,Vendor,ExpectedLocation,ExecutablePath,Type,ExecutableSHA256,Url
clipc.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\licensingdiag\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/clipc.html
clusapi.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dfsrdiag\.exe|\\Windows\\System32\\msdtc\.exe|\\Windows\\System32\\tieringengineservice\.exe|\\Windows\\System32\\wbengine\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/clusapi.html
cmpbk32.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\cmdl32\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/cmpbk32.html
cmutil.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\cmstp\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/cmutil.html
cnmpaui.dll,Canon,\\Program Files( \(x86\))?\\Canon\\Canon IJ Printer Assistant Tool\\,cnmpaui\.exe,Sideloading,4ed76fa68ef9e1a7705a849d47b3d9dcdf969e332bd5bcb68138579c288a16d3,https://hijacklibs.net/entries/3rd_party/canon/cnmpaui.html
coloradapterclient.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\colorcpl\.exe|\\Windows\\System32\\dccw\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/coloradapterclient.html
colorui.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\colorcpl\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/colorui.html
commfunc.dll,Lenovo,\\Program Files( \(x86\))?\\Lenovo\\Communications Utility,cammute\.exe,Sideloading,457b71d3effea8ec517277d17cf35a0b775103e549c0a779c81ba4eb125503ba,https://hijacklibs.net/entries/3rd_party/lenovo/commfunc.html
common.dll,iroot,\\Program Files( \(x86\))?\\iroot,\\Program Files( \(x86\))?\\iroot\\romasterconnection\.exe,Sideloading,12cbaa57e3241d9f997c41a171ff40cf37ee8ab421fa1f35d2354891bf51815c,https://hijacklibs.net/entries/3rd_party/iroot/common.html
comn.dll,AOMEI,\\Program Files( \(x86\))?\\AOMEI\\AOMEI Backupper\\[^\\]+,\\Program Files( \(x86\))?\\AOMEI\\AOMEI Backupper\\[^\\]+\\Abspawnhlp\.exe|\\Program Files( \(x86\))?\\AOMEI\\AOMEI Backupper\\[^\\]+\\ABCorehlp\.exe,Sideloading,ab5b956eca5ce83bf763d5f952316f17ba771adfd5cafd8ca9e262de61de4b4e|d8499face4195c362af82d4b847aa6693a6a2dd4ee03db0c2f79ee270e5f082b,https://hijacklibs.net/entries/3rd_party/aomei/comn.html
concrt140.dll,Microsoft,\\Program Files( \(x86\))?\\Microsoft Visual Studio\\[^\\]+\\Community\\Common7\\IDE\\VC\\vcpackages|\\Program Files( \(x86\))?\\Microsoft Visual Studio\\[^\\]+\\BuildTools\\Common7\\IDE\\VC\\vcpackages|\\Program Files( \(x86\))?\\Microsoft Visual Studio\\[^\\]+\\BuildTools\\Common7\\IDE|\\Program Files( \(x86\))?\\Microsoft Intune Management Extension|\\Program Files( \(x86\))?\\Microsoft\\Edge\\Application\\[^\\]+|\\Program Files( \(x86\))?\\Microsoft\\EdgeWebView\\Application\\[^\\]+|\\Program Files( \(x86\))?\\microsoft\\edgewebview\\application\\[^\\]+|\\Program Files( \(x86\))?\\Microsoft RDInfra\\RDMonitoringAgent_[^\\]+\\Agent|\\Program Files( \(x86\))?\\WindowsApps\\Microsoft\.VCLibs\.[^\\]+|\\Program Files( \(x86\))?\\WindowsApps\\Microsoft\.OutlookForWindows_[^\\]+|\\Windows\\System32|\\Windows\\SysWOW64,vcpkgsrv\.exe,Sideloading,a5c5487194f761dac90e178c9c1753c0f47b041f3168b5c23a587f33f69e5089,https://hijacklibs.net/entries/microsoft/external/concrt140.html
configmanager2.dll,Microsoft,\\Windows\\System32,\\Windows\\System32\\hvsievaluator\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/configmanager2.html
coredplus.dll,Microsoft,\\Windows\\System32,\\Windows\\System32\\omadmclient\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/coredplus.html
corefoundation.dll,Apple,\\Program Files( \(x86\))?\\Common Files\\Apple\\Apple Application Support|\\Program Files( \(x86\))?\\iTunes|\\Windows\\System32,\\Program Files( \(x86\))?\\iTunes\\ituneshelper\.exe|\\Program Files( \(x86\))?\\QuickTime\\QuickTimePlayer\.exe,Sideloading,0d8878cca08903777888b3681f90e4a07c7aef7d9600a67dfa985844d4bf5eda|b3a7ff97aca1201758c5295afa7d34e8d05f429b7faf707cf4d5740b8c76cb61,https://hijacklibs.net/entries/3rd_party/apple/corefoundation.html
coremessaging.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dwm\.exe|\\Windows\\System32\\sihost\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/coremessaging.html
coreuicomponents.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dwm\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/coreuicomponents.html
crashhandler.dll,Valve,\\Program Files( \(x86\))?\\Steam,\\Program Files( \(x86\))?\\Steam\\bin\\steam_monitor\.exe,Sideloading,8c0051a83b3611ff2b669b670aa005633f3d9e844454a112b31d2a4bc944a234,https://hijacklibs.net/entries/3rd_party/valve/crashhandler.html
credui.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\efsui\.exe|\\Windows\\System32\\fxssvc\.exe|\\Windows\\System32\\gpfixup\.exe|\\Windows\\System32\\licmgr\.exe|\\Windows\\System32\\mstsc\.exe|\\Windows\\System32\\netdom\.exe|\\Windows\\System32\\nlbmgr\.exe|\\Windows\\System32\\perfmon\.exe|\\Windows\\System32\\rekeywiz\.exe|\\Windows\\System32\\rpcping\.exe|\\Windows\\System32\\runas\.exe|\\Windows\\System32\\systempropertiesadvanced\.exe|\\Windows\\System32\\taskmgr\.exe|\\Windows\\System32\\wbadmin\.exe|\\Windows\\System32\\wfs\.exe|\\Windows\\System32\\wkspbroker\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/credui.html
cryptbase.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\alg\.exe|\\Windows\\System32\\calc\.exe|\\Windows\\System32\\compmgmtlauncher\.exe|\\Windows\\System32\\computerdefaults\.exe|\\Windows\\System32\\disksnapshot\.exe|\\Windows\\System32\\dpiscaling\.exe|\\Windows\\System32\\efsui\.exe|\\Windows\\System32\\filehistory\.exe|\\Windows\\System32\\fodhelper\.exe|\\Windows\\System32\\ie4uinit\.exe|\\Windows\\System32\\lpksetup\.exe|\\Windows\\System32\\mfpmp\.exe|\\Windows\\System32\\mshta\.exe|\\Windows\\System32\\mstsc\.exe|\\Windows\\System32\\net1\.exe|\\Windows\\System32\\netplwiz\.exe|\\Windows\\System32\\netsh\.exe|\\Windows\\System32\\presentationhost\.exe|\\Windows\\System32\\quickassist\.exe|\\Windows\\System32\\rdpclip\.exe|\\Windows\\System32\\rekeywiz\.exe|\\Windows\\System32\\resmon\.exe|\\Windows\\System32\\rmactivate\.exe|\\Windows\\System32\\rmactivate_ssp_isv\.exe|\\Windows\\System32\\sdclt\.exe|\\Windows\\System32\\slui\.exe|\\Windows\\System32\\sppextcomobj\.exe|\\Windows\\System32\\stordiag\.exe|\\Windows\\System32\\tzsync\.exe|\\Windows\\System32\\uevappmonitor\.exe|\\Windows\\System32\\useraccountcontrolsettings\.exe|\\Windows\\System32\\workfolders\.exe|\\Windows\\System32\\write\.exe|\\Windows\\System32\\wscadminui\.exe|\\Program Files( \(x86\))?\\Minecraft Launcher\\MinecraftLauncher\.exe|\\Program Files( \(x86\))?\\Microsoft Deployment Toolkit\\Bin\\Microsoft\.BDD\.Catalog35\.exe|winbox64\.exe,Sideloading,|6511ef24c41cf20f707119dd40971420f1cd6f97f0e888b7d24b5e0dec9d5495|8BC3ECF1F35952600ECB1A380C38C88E9D63C081A32204FD094D588230070BF6,https://hijacklibs.net/entries/microsoft/built-in/cryptbase.html
cryptdll.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\at\.exe|\\Windows\\System32\\netdom\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/cryptdll.html
cryptnet.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Program Files( \(x86\))?\\Microsoft Deployment Toolkit\\Bin\\Microsoft\.BDD\.Catalog35\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/cryptnet.html
cryptsp.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\bcdedit\.exe|\\Windows\\System32\\disksnapshot\.exe|\\Windows\\System32\\genvalobj\.exe|\\Windows\\System32\\omadmclient\.exe|\\Windows\\System32\\rmactivate\.exe|\\Windows\\System32\\rmactivate_isv\.exe|\\Windows\\System32\\rmactivate_ssp\.exe|\\Windows\\System32\\rmactivate_ssp_isv\.exe|\\Windows\\System32\\werfault\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/cryptsp.html
cryptui.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\certutil\.exe|\\Windows\\System32\\efsui\.exe|\\Windows\\System32\\mstsc\.exe|\\Windows\\System32\\rekeywiz\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/cryptui.html
