DllName,Vendor,ExpectedLocation,ExecutablePath,Type,ExecutableSHA256,Url
dhcpcmonitor.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\netsh\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dhcpcmonitor.html
dhcpcsvc.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\ipconfig\.exe|\\Windows\\System32\\netiougc\.exe|\\Windows\\System32\\netsh\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dhcpcsvc.html
dhcpcsvc6.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\ipconfig\.exe|\\Windows\\System32\\netsh\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dhcpcsvc6.html
dismapi.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\bootim\.exe|\\Windows\\System32\\deploymentcsphelper\.exe|\\Windows\\System32\\directxdatabaseupdater\.exe|\\Windows\\System32\\hvsievaluator\.exe|\\Windows\\System32\\resetengine\.exe|\\Windows\\System32\\systemreset\.exe|\\Windows\\System32\\systemsettingsadminflows\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dismapi.html
dismcore.dll,Microsoft,\\Windows\\System32\\dism|\\Windows\\SysWOW64\\dism,\\Windows\\System32\\dism\.exe,Search Order,,https://hijacklibs.net/entries/microsoft/built-in/dismcore.html
dmcfgutils.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\omadmclient\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dmcfgutils.html
dmcmnutils.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\deviceenroller\.exe|\\Windows\\System32\\dmcertinst\.exe|\\Windows\\System32\\dmcfghost\.exe|\\Windows\\System32\\dmnotificationbroker\.exe|\\Windows\\System32\\dmomacpmo\.exe|\\Windows\\System32\\edpcleanup\.exe|\\Windows\\System32\\hvsievaluator\.exe|\\Windows\\System32\\mdmappinstaller\.exe|\\Windows\\System32\\mdmdiagnosticstool\.exe|\\Windows\\System32\\mousocoreworker\.exe|\\Windows\\System32\\musnotificationux\.exe|\\Windows\\System32\\musnotifyicon\.exe|\\Windows\\System32\\omadmclient\.exe|\\Windows\\System32\\upgraderesultsui\.exe|\\Windows\\System32\\usocoreworker\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dmcmnutils.html
dmcommandlineutils.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\provtool\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dmcommandlineutils.html
dmenrollengine.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\deviceenroller\.exe|\\Windows\\System32\\dmomacpmo\.exe|\\Windows\\System32\\mdmagent\.exe|\\Windows\\System32\\mdmappinstaller\.exe|\\Windows\\System32\\mdmdiagnosticstool\.exe|\\Windows\\System32\\omadmclient\.exe|\\Windows\\System32\\workfolders\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dmenrollengine.html
dmenterprisediagnostics.dll,Microsoft,\\Windows\\System32,\\Windows\\System32\\deviceenroller\.exe|\\Windows\\System32\\omadmclient\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dmenterprisediagnostics.html
dmiso8601utils.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\mdmdiagnosticstool\.exe|\\Windows\\System32\\mousocoreworker\.exe|\\Windows\\System32\\omadmclient\.exe|\\Windows\\System32\\usocoreworker\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dmiso8601utils.html
dmoleaututils.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\omadmclient\.exe|\\Windows\\System32\\usocoreworker\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dmoleaututils.html
dmprocessxmlfiltered.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dmomacpmo\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dmprocessxmlfiltered.html
dmpushproxy.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dmcfghost\.exe|\\Windows\\System32\\omadmrpc\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dmpushproxy.html
dmxmlhelputils.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dmcfghost\.exe|\\Windows\\System32\\omadmclient\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dmxmlhelputils.html
dnsapi.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\checknetisolation\.exe|\\Windows\\System32\\dcdiag\.exe|\\Windows\\System32\\dnscmd\.exe|\\Windows\\System32\\edpcleanup\.exe|\\Windows\\System32\\ipconfig\.exe|\\Windows\\System32\\lpremove\.exe|\\Windows\\System32\\msdtc\.exe|\\Windows\\System32\\netdom\.exe|\\Windows\\System32\\netsh\.exe|\\Windows\\System32\\nslookup\.exe|\\Windows\\System32\\rendom\.exe|\\Windows\\System32\\repadmin\.exe|\\Windows\\System32\\securityhealthservice\.exe|\\Windows\\System32\\setupugc\.exe|\\Windows\\System32\\sihclient\.exe|\\Windows\\System32\\spoolsv\.exe|\\Windows\\System32\\sppextcomobj\.exe|\\Windows\\System32\\systempropertiesadvanced\.exe|\\Windows\\System32\\systemsettingsadminflows\.exe|\\Windows\\System32\\tieringengineservice\.exe|\\Windows\\System32\\wbengine\.exe|\\Windows\\System32\\wkspbroker\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dnsapi.html
dot3api.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\netsh\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dot3api.html
dot3cfg.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\netsh\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dot3cfg.html
dpx.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\lpksetup\.exe|\\Windows\\System32\\wusa\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dpx.html
drvstore.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\infdefaultinstall\.exe|\\Windows\\System32\\securityhealthservice\.exe|hvciscan_amd64\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/drvstore.html
dsclient.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dmcfghost\.exe|\\Windows\\System32\\dmomacpmo\.exe|\\Windows\\System32\\dstokenclean\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dsclient.html
dsparse.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dcdiag\.exe|\\Windows\\System32\\dfsrdiag\.exe|\\Windows\\System32\\dmcertinst\.exe|\\Windows\\System32\\netdom\.exe|\\Windows\\System32\\rendom\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dsparse.html
dsprop.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dsquery\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dsprop.html
dsreg.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\bitlockerdeviceencryption\.exe|\\Windows\\System32\\dsregcmd\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dsreg.html
dsrole.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\certutil\.exe|\\Windows\\System32\\cipher\.exe|\\Windows\\System32\\csvde\.exe|\\Windows\\System32\\dcdiag\.exe|\\Windows\\System32\\dsdbutil\.exe|\\Windows\\System32\\efsui\.exe|\\Windows\\System32\\gpfixup\.exe|\\Windows\\System32\\net1\.exe|\\Windows\\System32\\netdom\.exe|\\Windows\\System32\\netplwiz\.exe|\\Windows\\System32\\ntdsutil\.exe|\\Windows\\System32\\rekeywiz\.exe|\\Windows\\System32\\repadmin\.exe|\\Windows\\System32\\systempropertiesadvanced\.exe|\\Windows\\System32\\winrs\.exe|\\Windows\\System32\\wsmanhttpconfig\.exe|\\Windows\\System32\\wsmprovhost\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dsrole.html
dui70.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\bdeunlock\.exe|\\Windows\\System32\\camerasettings\.exe|\\Windows\\System32\\certreq\.exe|\\Windows\\System32\\dmnotificationbroker\.exe|\\Windows\\System32\\dpapimig\.exe|\\Windows\\System32\\licensingui\.exe|\\Windows\\System32\\optionalfeatures\.exe|\\Windows\\System32\\osk\.exe|\\Windows\\System32\\passwordonwakesettingflyout\.exe|\\Windows\\System32\\phoneactivate\.exe|\\Windows\\System32\\proximityuxhost\.exe|\\Windows\\System32\\sessionmsg\.exe|\\Windows\\System32\\sethc\.exe|\\Windows\\System32\\sysreseterr\.exe|\\Windows\\System32\\systemsettingsadminflows\.exe|\\Windows\\System32\\systemsettingsremovedevice\.exe|\\Windows\\System32\\utilman\.exe|\\Windows\\System32\\windowsactiondialog\.exe|\\Windows\\System32\\wlrmdr\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dui70.html
duilib_u.dll,AnyViewer,\\Program Files( \(x86\))?\\AnyViewer,SplashWin\.exe,Sideloading,c5e650b331fa5292872fdaede3a75c8167a0f1280ce0cd3d58b880d23854bdb1,https://hijacklibs.net/entries/3rd_party/anyviewer/duilib_u.html
duser.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\bdeunlock\.exe|\\Windows\\System32\\displayswitch\.exe|\\Windows\\System32\\easeofaccessdialog\.exe|\\Windows\\System32\\lockscreencontentserver\.exe|\\Windows\\System32\\mmc\.exe|\\Windows\\System32\\msdt\.exe|\\Windows\\System32\\osk\.exe|\\Windows\\System32\\rekeywiz\.exe|\\Windows\\System32\\sessionmsg\.exe|\\Windows\\System32\\taskmgr\.exe|\\Windows\\System32\\utilman\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/duser.html
dusmapi.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\datausagelivetiletask\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dusmapi.html
dwmapi.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\certreq\.exe|\\Windows\\System32\\devicepairingwizard\.exe|\\Windows\\System32\\displayswitch\.exe|\\Windows\\System32\\dxpserver\.exe|\\Windows\\System32\\fsquirt\.exe|\\Windows\\System32\\gamepanel\.exe|\\Windows\\System32\\lockscreencontentserver\.exe|\\Windows\\System32\\mblctr\.exe|\\Windows\\System32\\osk\.exe|\\Windows\\System32\\proximityuxhost\.exe|\\Windows\\System32\\rdpclip\.exe|\\Windows\\System32\\rdpshell\.exe|\\Windows\\System32\\rdvghelper\.exe|\\Windows\\System32\\sndvol\.exe|\\Windows\\System32\\snippingtool\.exe|\\Windows\\System32\\wmpdmc\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dwmapi.html
dwmcore.dll,Microsoft,\\Windows\\System32,\\Windows\\System32\\dwm\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dwmcore.html
dwrite.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\cttune\.exe|\\Windows\\System32\\dataexchangehost\.exe|\\Windows\\System32\\gamepanel\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dwrite.html
dxcore.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\taskmgr\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dxcore.html
dxgi.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\applicationframehost\.exe|\\Windows\\System32\\dataexchangehost\.exe|\\Windows\\System32\\dwm\.exe|\\Windows\\System32\\dxgiadaptercache\.exe|\\Windows\\System32\\gamepanel\.exe|\\Windows\\System32\\mdeserver\.exe|\\Windows\\System32\\quickassist\.exe|\\Windows\\System32\\systemreset\.exe|\\Windows\\System32\\taskmgr\.exe|\\Windows\\System32\\vsgraphicsremoteengine\.exe|\\Windows\\System32\\winsat\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dxgi.html
dxva2.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dccw\.exe|\\Windows\\System32\\dispdiag\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dxva2.html
dynamoapi.dll,Microsoft,\\Windows\\System32,\\Windows\\System32\\mdmdiagnosticstool\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/dynamoapi.html
eacore.dll,Electronic Arts,\\Program Files( \(x86\))?\\Electronic Arts\\EA Desktop\\EA Desktop,\\Program Files( \(x86\))?\\Electronic Arts\\EA Desktop\\EA Desktop\\EACoreServer\.exe,Sideloading,2c24f443087674a64742d5e63f62b035102314d4431fdb336cbdcb68291454dd,https://hijacklibs.net/entries/3rd_party/electronicarts/eacore.html
eappcfg.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\netsh\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/eappcfg.html
eappprxy.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\netsh\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/eappprxy.html
edgeiso.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\microsoftedgebchost\.exe|\\Windows\\System32\\microsoftedgecp\.exe|\\Windows\\System32\\microsoftedgedevtools\.exe|\\Windows\\System32\\microsoftedgesh\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/edgeiso.html
edputil.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\calc\.exe|\\Windows\\System32\\compmgmtlauncher\.exe|\\Windows\\System32\\computerdefaults\.exe|\\Windows\\System32\\dpiscaling\.exe|\\Windows\\System32\\fodhelper\.exe|\\Windows\\System32\\mobsync\.exe|\\Windows\\System32\\resmon\.exe|\\Windows\\System32\\sdclt\.exe|\\Windows\\System32\\slui\.exe|\\Windows\\System32\\workfolders\.exe|\\Windows\\System32\\write\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/edputil.html
efsadu.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\efsui\.exe|\\Windows\\System32\\rekeywiz\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/efsadu.html
efsutil.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\cipher\.exe|\\Windows\\System32\\efsui\.exe|\\Windows\\System32\\rekeywiz\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/efsutil.html
epnsm.dll,seiko,\\Program Files( \(x86\))?\\Epson Software\\Document Capture Server|\\Program Files( \(x86\))?\\Epson Software\\Event Manager,\\Program Files( \(x86\))?\\Epson Software\\Document Capture Server\\EEventManager\.exe,Sideloading,88760201ada655d230fb40988bb50fdd46b152c9407565d0a4081d4540c0ac01,https://hijacklibs.net/entries/3rd_party/seiko/epnsm.html
esent.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dfsrdiag\.exe|\\Windows\\System32\\dsdbutil\.exe|\\Windows\\System32\\esentutl\.exe|\\Windows\\System32\\tieringengineservice\.exe|\\Windows\\System32\\ntdsutil\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/esent.html
facesdk.dll,Luxand,\\Program Files( \(x86\))?\\luxand\\facesdk\\bin\\win64,\\Program Files( \(x86\))?\\luxand\\facesdk\\bin\\win64\\FacialFeatureDemo\.exe,Sideloading,0d243cbcd1c3654ca318d2d6d08f4e9d293fc85a68d751a52c23b04314c67b99,https://hijacklibs.net/entries/3rd_party/luxand/facesdk.html
faultrep.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\werfault\.exe|\\Windows\\System32\\werfaultsecure\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/faultrep.html
feclient.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\cipher\.exe|\\Windows\\System32\\efsui\.exe|\\Windows\\System32\\rekeywiz\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/feclient.html
fhsvcctl.dll,Microsoft,\\Windows\\System32,\\Windows\\System32\\fhmanagew\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/fhsvcctl.html
firewallapi.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\checknetisolation\.exe|\\Windows\\System32\\edpcleanup\.exe|\\Windows\\System32\\lpremove\.exe|\\Windows\\System32\\netsh\.exe|\\Windows\\System32\\securityhealthservice\.exe|\\Windows\\System32\\systemsettingsadminflows\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/firewallapi.html
fltlib.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\agentservice\.exe|\\Windows\\System32\\bootim\.exe|\\Windows\\System32\\compmgmtlauncher\.exe|\\Windows\\System32\\dpiscaling\.exe|\\Windows\\System32\\dfsrdiag\.exe|\\Windows\\System32\\fltmc\.exe|\\Windows\\System32\\psr\.exe|\\Windows\\System32\\resmon\.exe|\\Windows\\System32\\sdclt\.exe|\\Windows\\System32\\slui\.exe|\\Windows\\System32\\vssvc\.exe|\\Windows\\System32\\wbengine\.exe|\\Windows\\System32\\workfolders\.exe|\\Windows\\System32\\write\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/fltlib.html
flutter_gpu_texture_renderer_plugin.dll,Rustdesk,\\(Users\\[^\\]+|windows\\(System32|SysWOW64)\\config\\systemprofile)\\AppData\\[^\\]+\\rustdesk|\\Program Files( \(x86\))?\\RustDesk,\\(Users\\[^\\]+|windows\\(System32|SysWOW64)\\config\\systemprofile)\\AppData\\[^\\]+\\rustdesk\\rustdesk\.exe,Sideloading,8128917d9f3e7ecabbc39f4c221afdf9171ee8b71b2c0ef11fce8e14c13c91fe,https://hijacklibs.net/entries/3rd_party/rustdesk/flutter_gpu_texture_renderer_plugin.html
fnp_act_installer.dll,Flexera,\\Program Files( \(x86\))?\\InstallShield\\[^\\]+\\System,\\Program Files( \(x86\))?\\InstallShield\\[^\\]+\\System\\TSConfig\.exe|\\Program Files( \(x86\))?\\InstallShield\\[^\\]+\\System\\ISDbg\.exe,Sideloading,b5f9377bd27fcf48fb3d81d0196021681739f42a198e8340c27d55192d4bd3ac|40c88a5620a651b6af283dff83c4da997782784da7f85b94fc9b6c02a28862e7,https://hijacklibs.net/entries/3rd_party/flexera/fnp_act_installer.html
formdll.dll,Microsoft,\\Program Files( \(x86\))?\\Common Files\\Microsoft Shared\\NoteSync Forms,\\Program Files( \(x86\))?\\Common Files\\Microsoft Shared\\NoteSync Forms\\inkform\.exe,Sideloading,0e545a54f3cfef84bb59be1a95453ae4b34b5464b0f5ca618a0da2e4c97c7526,https://hijacklibs.net/entries/microsoft/external/formdll.html
framedynos.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dfsrdiag\.exe|\\Windows\\System32\\driverquery\.exe|\\Windows\\System32\\getmac\.exe|\\Windows\\System32\\openfiles\.exe|\\Windows\\System32\\taskkill\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/framedynos.html
fveapi.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\baaupdate\.exe|\\Windows\\System32\\bdechangepin\.exe|\\Windows\\System32\\fvenotify\.exe|\\Windows\\System32\\fveprompt\.exe|\\Windows\\System32\\resetengine\.exe|\\Windows\\System32\\systemreset\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/fveapi.html
fveskybackup.dll,Microsoft,\\Windows\\System32,\\Windows\\System32\\bitlockerdeviceencryption\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/fveskybackup.html
fvewiz.dll,Microsoft,\\Windows\\System32,\\Windows\\System32\\bitlockerwizard\.exe|\\Windows\\System32\\bitlockerwizardelev\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/fvewiz.html
fwbase.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\checknetisolation\.exe|\\Windows\\System32\\edpcleanup\.exe|\\Windows\\System32\\lpremove\.exe|\\Windows\\System32\\netsh\.exe|\\Windows\\System32\\securityhealthservice\.exe|\\Windows\\System32\\systemsettingsadminflows\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/fwbase.html
fwcfg.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\netsh\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/fwcfg.html
fwpolicyiomgr.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\netsh\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/fwpolicyiomgr.html
fwpuclnt.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\checknetisolation\.exe|\\Windows\\System32\\netsh\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/fwpuclnt.html
fxsapi.dll,Microsoft,\\Windows\\System32|\\Windows\\System32\\driverstore\\filerepository\\prnms002\.inf_[^\\]+\\amd64|\\Windows\\SysWOW64,\\Windows\\System32\\fxsunatd\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/fxsapi.html
fxsst.dll,Microsoft,\\Windows\\System32,\\Windows\\explorer\.exe,Search Order,,https://hijacklibs.net/entries/microsoft/built-in/fxsst.html
fxstiff.dll,Microsoft,\\Windows\\System32|\\Windows\\System32\\driverstore\\filerepository\\prnms002\.inf_[^\\]+\\amd64,\\Windows\\System32\\fxssvc\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/fxstiff.html
getuname.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\charmap\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/getuname.html
gflagsui.dll,Microsoft,\\Program Files( \(x86\))?\\Windows Kits\\10\\Debuggers\\[^\\]+,\\Program Files( \(x86\))?\\Windows Kits\\10\\Debuggers\\[^\\]+\\gflags\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/external/gflagsui.html
glib-2.0.dll,VMWare,\\Program Files( \(x86\))?\\VMware\\VMware Tools|\\Program Files( \(x86\))?\\VMware\\VMware Workstation|\\Program Files( \(x86\))?\\VMware\\VMware Player,\\Program Files( \(x86\))?\\VMware\\VMware Tools\\VMwareXferlogs\.exe,Sideloading,935e10f5169397a67f4c36bffbc3ba46c3957b7521edd3fa83bd975157b79bd8,https://hijacklibs.net/entries/3rd_party/vmware/glib-2.0.html
goopdate.dll,Dropbox,\\Program Files( \(x86\))?\\Dropbox\\Update|\\Program Files( \(x86\))?\\Dropbox\\Update\\[^\\]+|\\(Users\\[^\\]+|windows\\(System32|SysWOW64)\\config\\systemprofile)\\AppData\\[^\\]+\\DropboxUpdate\\Update,DropboxUpdate\.exe|DropboxCrashHandler\.exe,Sideloading,47839789332aaf8861f7731bf2d3fbb5e0991ea0d0b457bb4c8c1784f76c73dc,https://hijacklibs.net/entries/3rd_party/dropbox/goopdate.html
gpapi.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\gpapi\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/gpapi.html
hha.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64|\\Program Files( \(x86\))?\\HTML Help Workshop,\\Program Files( \(x86\))?\\HTML Help Workshop\\hhc\.exe,Sideloading,3e96894609819ae3d595ff6e0fbe9ce6c9ac17bdeda256b994831992f668cb99,https://hijacklibs.net/entries/microsoft/external/hha.html
hid.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\psr\.exe|\\Windows\\System32\\tabcal\.exe|\\Windows\\System32\\PerceptionSimulation\\PerceptionSimulationService\.exe|\\Program Files( \(x86\))?\\Logitech\\SetPointP\\LDeviceDetectionHelper\.exe,Sideloading|Search Order,,https://hijacklibs.net/entries/microsoft/built-in/hid.html
hnetmon.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\netsh\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/hnetmon.html
hpcustpartui.dll,HP,\\Program Files( \(x86\))?\\HP,HPCustParticUI\.exe,Sideloading,8857232077b4b0f0e4a2c3bb5717fd65079209784f41694f8e1b469e34754cf6,https://hijacklibs.net/entries/3rd_party/hp/hpcustpartui.html
hpqhvsei.dll,HP,\\Program Files( \(x86\))?\\HP,hpqhvind\.exe,Sideloading,404c4ab8ea4d0c05ac78038a7addb045861706832ea3a51dec8c39cfc15017d3,https://hijacklibs.net/entries/3rd_party/hp/hpqhvsei.html
httpapi.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\netsh\.exe|\\Windows\\System32\\wifitask\.exe|\\Windows\\System32\\wsmanhttpconfig\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/httpapi.html
icmp.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\nlbmgr\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/icmp.html
ieadvpack.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\ie4uinit\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/ieadvpack.html
iedkcs32.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\ie4uinit\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/iedkcs32.html
iepdf32.dll,HandySoftware,\\Program Files( \(x86\))?\\Handy Viewer,\\Program Files( \(x86\))?\\Handy Viewer\\hv\.exe,Sideloading,6d8905ec0b1dfdc0a10d1cce40714ddd73205a09ad390b933ddbecdcf06a4cf2,https://hijacklibs.net/entries/3rd_party/handysoftware/iepdf32.html
iernonce.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\SysWOW64\\runonce\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/iernonce.html
iertutil.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\browserexport\.exe|\\Windows\\System32\\cipher\.exe|\\Windows\\System32\\iesettingsync\.exe|\\Windows\\System32\\launchwinapp\.exe|\\Windows\\System32\\microsoftedgebchost\.exe|\\Windows\\System32\\microsoftedgecp\.exe|\\Windows\\System32\\microsoftedgedevtools\.exe|\\Windows\\System32\\microsoftedgesh\.exe|\\Windows\\System32\\wwahost\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/iertutil.html
ifmon.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\netsh\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/ifmon.html
