Name,Description,LolRMMLink,PathRegex,DomainRegex
Royal Server,Royal Server is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/royal_server,,royalapps\.com$
FixMe.it,FixMe.it is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/fixme.it,9380CC75B872221A7425D7503565B67580407F60|^FixMeit Client\.exe$|^FixMeit Expert Setup\.exe$|^FixMeit Unattended Access Setup\.exe$|^FixMeitClient.*\.exe$|^TiClientCore\.exe$|^TiClientHelper.*\.exe$|^TiExpertCore\.exe$|^TiExpertStandalone\.exe$|^fixmeitclient\.exe$,.*\.fixme\.it$|.*\.techinline\.net$|.*set\.me$|.*setme\.net$|fixme\.it$
GoToAssist Agent Desktop Console,GoToAssist Agent Desktop Console is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/gotoassist_agent_desktop_console,.*\\G2RDesktopConsole-x64\.msi|C:\\.*\\G2RDesktopConsole-x64\.msi,
GoToAssist (GoTo Resolve),"GoTo Resolve (formerly LogMeIn Resolve) is an all-in-one IT management and remote monitoring and management (RMM) solution designed for small and midsize businesses (SMBs) and managed service providers (MSPs). It combines remote monitoring and management capabilities with remote support and access, ticketing, automation, and helpdesk functionality in a unified platform.
",https://lolrmm.io/tools/gotoassist__goto_resolve_,C:\\Program Files \(x86\)\\GoTo Resolve Unattended\\.*|C:\\Program Files\\GoTo Resolve Unattended\\.*|^GoToResolveExternalModuleHandler\.exe$|^GoToResolveFileManager\.exe$|^GoToResolveLoggerProcess\.exe$|^GoToResolveNetworkChecker\.exe$|^GoToResolveProcessChecker\.exe$|^GoToResolveQuickView\.exe$|^GoToResolveRegistryEditor\.exe$|^GoToResolveRemoteControl\.exe$|^GoToResolveServiceManager\.exe$|^GoToResolveService\.exe$|^GoToResolveTerminal\.exe$|^GoToResolveTools32\.exe$|^GoToResolveTools64\.exe$|^GoToResolveUi\.exe$|^GoToResolveUnattendedRemover\.exe$|^GoToResolveUnattendedUi\.exe$|^GoToResolveUnattended\.exe$,
SpyAnywhere,SpyAnywhere is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/spyanywhere,^sysdiag\.exe$,.*\.spytech-web\.com$|spyanywhere\.com$
Bitvise SSH Server,Bitvise SSH Server is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/bitvise_ssh_server,.*\\Bitvise SSH Server\\.*|.*\\BvSshServer-Inst\.exe$|C:\\Program Files\\Bitvise SSH Server\\.*,
Netviewer,Netviewer is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/netviewer,^netviewer.*\.exe$|^netviewer\.exe$,download\.cnet\.com/Net-Viewer/3000-2370_4-10034828\.html$
ConnectWise Control,ConnectWise Control is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/connectwise_control,^connectwisechat-customer\.exe$|^connectwisecontrol\.client\.exe$|^screenconnect\.windowsclient\.exe$,control\.connectwise\.com$|live\.screenconnect\.com$
MioNet (WD Anywhere Access),MioNet (WD Anywhere Access) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/mionet__wd_anywhere_access_,^mionet\.exe$|^mionetmanager\.exe$,
AeroAdmin,AeroAdmin is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/aeroadmin,^AeroAdmin\.exe$|^aeroadmin\.exe$,aeroadmin\.com$|auth.*\.aeroadmin\.com$
Microsoft RDP,Microsoft RDP is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/microsoft_rdp,Microsoft Remote Desktop|^mstsc\.exe$|^termsrv\.exe$,
RemotePC,RemotePC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/remotepc,.*\\RemotePCService\.exe$|.*\\RemotePC\\.*|C:\\Program Files \(x86\)\\RemotePC\\.*|Idrive\.File-Transfer|^RemotePCService\.exe$|^RemotePC\.exe$|^remotepchost\.exe$|^remotepcservice\.exe$|^rpcsuite\.exe$|idrive\.RemotePCAgent,.*\.remotedesktop\.com$|.*\.remotepc\.com$|remotepc\.com$|www\.remotepc\.com$
Comodo RMM,Comodo RMM is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/comodo_rmm,^itsmagent\.exe$|^rviewer\.exe$,.*\.itsm-us1\.comodo\.com$|.*mdmsupport\.comodo\.com$|one\.comodo\.com$
Duplicati,Duplicati is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/duplicati,.*\\.*\\Duplicati\.Server\.exe$|c:\\Program Files\\.*\\Duplicati\.Server\.exe$,
BeyondTrust (Bomgar),BeyondTrust (Bomgar) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/beyondtrust__bomgar_,^bomgar-pac-.*\.exe$|^bomgar-pac\.exe$|^bomgar-rdp\.exe$|^bomgar-scc-.*\.exe$|^bomgar-scc\.exe$,.*\.beyondtrustcloud\.com$|.*\.bomgarcloud\.com$|bomgarcloud\.com$
I'm InTouch,I'm InTouch is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/i'm_intouch,^I'm InTouch Go Installer\.exe$|^iit\.exe$|^intouch\.exe$,.*\.01com\.com$|01com\.com/imintouch-remote-pc-desktop$
ZOC,ZOC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/zoc,.*\\ZOC?\\.*|.*\\zoc\.exe$|C:\\Program Files\\ZOC8\\.*,
Ericom AccessNow,Ericom AccessNow is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/ericom_accessnow,^accessserver.*\.exe$|^accessserver\.exe$,ericom\.com$
Sophos-Remote Management System,Sophos-Remote Management System is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/sophos-remote_management_system,^clientmrinit\.exe$|^mgntsvc\.exe$|^routernt\.exe$,.*\.sophos\.com$|.*\.sophosupd\.com$|.*\.sophosupd\.net$|community\.sophos\.com/on-premise-endpoint/f/sophos-endpoint-software/5725/sophos-remote-management-system$
Iperius Remote,Iperius Remote is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/iperius_remote,^iperius\.exe$|^iperiusremote\.exe$,.*\.iperius-rs\.com$|.*\.iperius\.com$|.*\.iperiusremote\.com$|iperiusremote\.com$
Xeox,Xeox is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/xeox,^xeox-agent_.*\.exe$|^xeox-agent_x64\.exe$|^xeox-agent_x86\.exe$|^xeox_service_windows\.exe$,.*\.xeox\.com$|xeox\.com$
PuTTY Tray,PuTTY Tray is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/putty_tray,.*\\puttytray\.exe$|C:\\.*\\puttytray\.exe$,
FreeRDP,FreeRDP is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/freerdp,,
UltraViewer,UltraViewer is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/ultraviewer,.*\\UltraViewer\\|.*\\UltraViewer_Desktop\.exe$|C:\\Program Files \(x86\)\\UltraViewer\\UltraViewer_Desktop\.exe$|UltraViewer_setup.*|^UltraViewer_Desktop\.exe$|^UltraViewer_Service\.exe$|^ultraviewer\.exe$|^ultraviewer_desktop\.exe$|^ultraviewer_service\.exe$,.*\.ultraviewer\.net$|ultraviewer\.net$
Splashtop (Beta),Splashtop (Beta) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/splashtop__beta_,^SRManager\.exe$|^SRServer\.exe$|^SplashtopSOS\.exe$|^Splashtop_Streamer_Windows.*\.exe$,splashtop\.com$
Royal Apps,Royal Apps is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/royal_apps,^royalserver\.exe$|^royalts\.exe$,
Anyplace Control,Anyplace Control is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/anyplace_control,^apc_host\.exe$,anyplace-control\.com$
RemoteUtilities,RemoteUtilities is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/remoteutilities,.*\\Remote Manipulator System - Server\\.*|.*\\Remote Utilities\\.*|.*\\rutserv\.exe$|C:\\Program Files\\Remote Utilities\\.*|^rutserv\.exe$|^rutview\.exe$,remoteutilities\.com$
Pcvisit,Pcvisit is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/pcvisit,^pcvisit-easysupport\.exe$|^pcvisit\.exe$|^pcvisit_client\.exe$|^pcvisit_service_client\.exe$,.*\.pcvisit\.de$|pcvisit\.de$
PSEXEC,PSEXEC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/psexec,^psexec\.exe$|^psexecsvc\.exe$,
MSP360,MSP360 is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/msp360,^CBBackupPlan\.exe$|^CloudRaCmd\.exe$|^CloudRaSd\.exe$|^CloudRaService\.exe$|^CloudRaUtilities\.exe$|^Cloud\.Backup\.RM\.Service\.exe$|^Cloud\.Backup\.Scheduler\.exe$|^Connect\.exe$|^Online Backup\.exe$|^Remote Desktop\.exe$|^cbb\.exe$,.*\.cloudberrylab\.com$|.*\.msp360\.com$|.*\.mspbackups\.com$|msp360\.com$
Panorama9,Panorama9 is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/panorama9,^p9agent.*\.exe$,changes\.panorama9\.com$|panorama9\.com$|trusted\.panorama9\.com$
DeskShare,DeskShare is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/deskshare,^DSGuest\.exe$|^TeamTaskManager\.exe$,
Domotz,Domotz is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/domotz,^Domotz Pro Desktop App Setup.*\.exe$|^Domotz Pro Desktop App\.exe$|^domotz-windows.*\.exe$|^domotz.*\.exe$|^domotz\.exe$|^domotz_bash\.exe$,.*\.domotz\.co$|.*cell-1\.domotz\.com$|domotz\.com$
N-Able Advanced Monitoring Agent,N-Able Advanced Monitoring Agent is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/n-able_advanced_monitoring_agent,^Agent_.*_RW\.exe$|^BASEClient\.exe$|^BASupApp\.exe$|^BASupSrvcCnfg\.exe$|^BASupSrvc\.exe$|^BASupTSHelper\.exe$,.*\.beanywhere\.com $|.*\.logicnow\.com$|.*\.n-able\.com$|.*\.swi-tc\.com$|.*cloudbackup\.management$|.*remote\.management$|.*system-monitor\.com$|.*systemmonitor\.co\.uk$|.*systemmonitor\.eu\.com$|.*systemmonitor\.us$|systemmonitor\.us\.cdn\.cloudflare\.net$
Rapid7,Rapid7 is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/rapid7,^ir_agent\.exe$|^rapid7_agent_core\.exe$|^rapid7_endpoint_broker\.exe$,.*\.analytics\.insight\.rapid7\.com$|.*\.endpoint\.ingress\.rapid7\.com$
GoToAssist,GoToAssist is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/gotoassist,^GoTo Assist Opener\.exe$|^g2a.*\.exe$|^g2ax_comm_customer\.exe$|^g2mcomm\.exe$|^goto opener\.exe$|^gotoassist\.exe$|g2mupdate\.com,.*\.cdn\.getgo\.com$|.*\.desktopstreaming\.com$|.*\.fastsupport\.com$|.*\.getgo\.com$|.*\.gotoassist\.at$|.*\.gotoassist\.com$|.*\.gotoassist\.me$|goto\.com$|helpme\.net$
BeInSync,BeInSync is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/beinsync,^Beinsync.*\.exe$,.*\.beinsync\.com$|.*\.beinsync\.net$
LogMeIn rescue,LogMeIn rescue is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/logmein_rescue,C:\\Users\\.*\\AppData\\Local\\LogMeIn Rescue Applet\\LMIR.*\.tmp\\lmi_rescue\.exe$|C:\\Users\\.*\\AppData\\Local\\LogMeIn Rescue Applet\\LMIR.*\.tmp\\lmi_rescue_srv\.exe$|^lmi_rescue\.exe$|^support-logmeinrescue.*\.exe$|^support-logmeinrescue\.exe$,.*\.logmeinrescue\.com$|.*\.logmeinrescue\.eu$|logmeinrescue\.com$|rescue-data-cetner\.logmein-gateway\.com$|rescue-list\..*\.logmein-gateway\.com$
baramundi Management Suite,"baramundi Management Suite is a comprehensive Unified Endpoint Management (UEM) platform designed for automated endpoint management across Windows, macOS, iOS, Linux, and Android devices. It provides features for inventory and network discovery, endpoint security, patch management, mobile device management (MDM), IT automation, operating system deployment and configuration, remote access service, digital employee experience (DEX), and license management. The baramundi Management Agent (bma.exe) operates as a Windows service named BARAAGNT and is used for remote monitoring and management of enterprise systems. The suite is available for on-premises, hybrid, or fully hosted deployment. baramundi also offers the Proactive Hub, a cloud-based platform for proactive IT management.
",https://lolrmm.io/tools/baramundi_management_suite,C:\\Program Files \(x86\)\\bsag\\.*|C:\\Program Files \(x86\)\\bsag\\bma\\.*|C:\\Program Files\\bsag\\.*|C:\\Program Files\\bsag\\bma\\.*,.*\.baramundi\.com$|docs\.baramundi\.com$|isodownload\.baramundi\.com$|www\.baramundi\.com$
WebRDP,WebRDP is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/webrdp,^webrdp\.exe$,github\.com/Mikej81/WebRDP$
Seetrol,Seetrol is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/seetrol,^seetrolcenter\.exe$|^seetrolclient\.exe$|^seetrolmyservice\.exe$|^seetrolremote\.exe$|^seetrolsetting\.exe$,seetrol\.co\.kr$
Pandora RC (eHorus),Pandora RC (eHorus) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/pandora_rc__ehorus_,^ehorus standalone\.exe$|^ehorus_agent\.exe$,portal\.ehorus\.com$
RemoteCall,RemoteCall is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/remotecall,^agentu\.exe$|^raautoup\.exe$|^rcengmgru\.exe$|^rcmgrsvc\.exe$|^rcstartsupport\.exe$|^remotesupportplayeru\.exe$|^rxstartsupport\.exe$,.*\.remotecall\.com$|.*\.startsupport\.com$|remotecall\.com$
Bitvise SSH Client,Bitvise SSH Client is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/bitvise_ssh_client,.*\\Bitvise SSH Client\\.*|.*\\BvSshClient-Inst\.exe$|C:\\Program Files \(x86\)\\Bitvise SSH Client\\.*,
Terminals,Terminals is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/terminals,,
HelpBeam,HelpBeam is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/helpbeam,^helpbeam.*\.exe$,helpbeam\.software\.informer\.com$
SmartFTP,SmartFTP is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/smartftp,.*\\SfShellTools\.dll\.mui|.*\\SmartFTP Client\\.*|C:\\Program Files \(x86\)\\SmartFTP Client\\en-US\\,
FreeNX,FreeNX is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/freenx,.*\\nxplayer\.exe$|C:\\.*\\nxplayer\.exe$,
Auvik,Auvik is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/auvik,^auvik\.agent\.exe$|^auvik\.engine\.exe$,.*\.auvik\.com$|.*\.my\.auvik\.com$|auvik\.com$
PChelpware,"PChelpware (also known as PCHelpWare) is a free and open-source remote support and remote desktop software developed by the UltraVNC team. Built on VNC technology and following the RFB protocol, PChelpware is designed specifically for remote technical support scenarios, virtual training, and helpdesk operations.
",https://lolrmm.io/tools/pchelpware,.*\\PcHelpWare_viewer\.exe$,
ZeroTier,ZeroTier is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/zerotier,^zero-powershell\.exe$|^zerotier.*\.exe$|zerotier.*\.msi,.*\.zerotier\.com$|zerotier\.com$
ITSupport247 (ConnectWise),ITSupport247 (ConnectWise) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/itsupport247__connectwise_,^saazapsc\.exe$,.*\.itsupport247\.net$
Kabuto,Kabuto is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/kabuto,^Kabuto\.App\.Runner\.exe$,.*\.kabuto\.io$|repairtechsolutions\.com/kabuto/$
Ericom Connect,Ericom Connect is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/ericom_connect,^EricomConnectRemoteHost.*\.exe$|^ericomconnnectconfigurationtool\.exe$,ericom\.com$
ITSupport247 (ConnectWise),ITSupport247 (ConnectWise) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/itsupport247__connectwise_,^saazapsc\.exe$,.*\.itsupport247\.net$|itsupport247\.net$
RemoteView,RemoteView is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/remoteview,^remoteview\.exe$|^rv\.exe$|^rvagent\.exe$|^rvagtray\.exe$,.*\.rview\.com$|.*content\.rview\.com$|content\.rview\.com$
Laplink Gold,Laplink Gold is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/laplink_gold,^laplink\.exe$|^tsircusr\.exe$,web\.laplink\.com/product/laplink-gold$
AnyViewer,"AnyViewer is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.
",https://lolrmm.io/tools/anyviewer,C:\\Program Files \(x86\)\\AnyViewer\\.*,.*\.anyviewer\.com$|.*\.aomeisoftware\.com$
Netop Remote Control (aka Impero Connect),Netop Remote Control (aka Impero Connect) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/netop_remote_control__aka_impero_connect_,^nhostsvc\.exe$|^nhstw32\.exe$|^nldrw32\.exe$|^rmserverconsolemediator\.exe$,imperosoftware\.com/impero-connect/$
Tanium Deploy,Tanium Deploy is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/tanium_deploy,,tanium\.com/products/tanium-deploy$
TeamViewer,"TeamViewer is a remote monitoring and management (RMM) tool.
",https://lolrmm.io/tools/teamviewer,C:\\Program Files\\TeamViewer\\|^teamviewer_desktop\.exe$|^teamviewer_service\.exe$|teamviewerhost,.*\.teamviewer\.com$|client\.teamviewer\.com$|router15\.teamviewer\.com$|taf\.teamviewer\.com$
WinSCP,WinSCP is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/winscp,.*\\WinSCP.*Portable\\.*|.*\\WinSCP\.exe$|.*\\WinSCP\\.*|C:\\Users\\IEUser\\Downloads\\WinSCP-5\.21\.6-Portable\\.*,
Distant Desktop,Distant Desktop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/distant_desktop,^dd\.exe$|^ddsystem\.exe$|^distant-desktop\.exe$,.*\.distantdesktop\.com$|.*signalserver\.xyz$
Bluetrait,"Bluetrait is a Remote Monitoring and Management (RMM) tool designed to provide IT administrators and Managed Service Providers (MSPs) with remote access, system monitoring, and automation capabilities across Windows, Linux, and macOS devices. Like many RMM solutions, Bluetrait enables seamless remote management, allowing administrators to execute commands, install software, and troubleshoot issues without direct user intervention.

However, Proofpoint's research has highlighted how threat actors are increasingly abusing RMM tools, including Bluetrait, for malicious purposes. Attackers leverage Bluetrait as part of their post-exploitation strategy, often deploying it through phishing or social engineering techniques. Once installed, Bluetrait allows attackers to establish persistent remote access, circumvent traditional security controls, and execute malicious payloads under the guise of legitimate administrative activity.",https://lolrmm.io/tools/bluetrait,C:\\Program Files \(x86\)\\Bluetrait Agent\\.*,.*\.bluetrait\.io$|bluetrait\.io$
Chicken (of the VNC),Chicken (of the VNC) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/chicken__of_the_vnc_,,
Site24x7,Site24x7 is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/site24x7,^MEAgentHelper\.exe$|^MonitoringAgent\.exe$|^Site24x7PluginAgent\.exe$|^Site24x7WindowsAgentTrayIcon\.exe$,plus.*\.site24x7\.cn$|plus.*\.site24x7\.com$|plus.*\.site24x7\.eu$|plus.*\.site24x7\.in$|plus.*\.site24x7\.net\.au$|site24x7\.com/msp$
PSEXEC (Clone),PSEXEC (Clone) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/psexec__clone_,^PAExec-.*\.exe$|^csexec\.exe |^paexec\.exe$|^remcom\.exe$|^remcomsvc\.exe$|^xcmd\.exe$|^xcmdsvc\.exe$,
NVDA (Non-Visual Desktop Access),"NVDA (Non-Visual Desktop Access) is a free, open-source screen reader that allows blind and vision impaired people to access and interact with the Windows operating system and many third party applications. Recent versions include a ""Remote Access"" feature that enables remote support and assistance capabilities.",https://lolrmm.io/tools/nvda__non-visual_desktop_access_,C:\\Program Files \(x86\)\\NVDA\\nvda\.exe$|C:\\Program Files\\NVDA\\nvda\.exe$|C:\\Users\\.*\\AppData\\Local\\Temp\\nvda_.*\\.*|C:\\Users\\.*\\AppData\\Roaming\\nvda\\.*|^nvda\.exe$|^nvda_.*\.exe$|^nvda_service\.exe$,.*\.nvaccess\.org$|nvaccess\.org$
GotoHTTP,GotoHTTP is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/gotohttp,^GotoHTTP.*\.exe$|^GotoHTTP_x64\.exe$|^gotohttp\.exe$,.*\.gotohttp\.com$|gotohttp\.com$
CruzControl,CruzControl is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/cruzcontrol,,
Atera,"Atera is a remote monitoring and management (RMM) tool. It is used by threat actors to deploy ransomware or facilitate command execution and lateral movement.
",https://lolrmm.io/tools/atera,.*\\ATERA Networks\\AteraAgent\\.*|.*\\AgentPackageNetworkDiscovery\.exe$|.*\\AgentPackageTaskScheduler\.exe$|.*\\AteraAgent\.exe$|C:\\Program Files \(x86\)\\Atera Networks|C:\\Program Files\\ATERA Networks\\AteraAgent\\.*|C:\\Program Files\\Atera Networks|^atera_agent\.exe$|^ateraagent\.exe$|^syncrosetup\.exe$,agent-api\.atera\.com$|agenthb\.atera\.com$|agentreporting\.atera\.com$|agentreportingstore\.blob\.core\.windows\.net$|app\.atera\.com$|appcdn\.atera\.com$|atera-agent-heartbeat\.servicebus\.windows\.net$|atera\.pubnubapi\.com$|getalphacontrol\.com$|packagesstore\.blob\.core\.windows\.net$|ps\.atera\.com$|ps\.pndsn\.com$|pubsub\.atera\.com$|pubsub\.pubnub\.com$
SmartCode Web VNC,SmartCode Web VNC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/smartcode_web_vnc,.*\\TightVNC\\.*|C:\\Program Files\\TightVNC\\.*,
CentraStage (Now Datto),CentraStage (Now Datto) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/centrastage__now_datto_,^AEMAgent\.exe$|^CagService\.exe$,.*\.rmm\.datto\.com$|.*cc\.centrastage\.net$|datto\.com/au/products/rmm/$
ShowMyPC,ShowMyPC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/showmypc,^SMPCSetup\.exe$|^showmypc.*\.exe$|^showmypc\.exe$|^smpcsetup\.exe$,.*\.showmypc\.com$|showmypc\.com$
Remmon,"Remote monitoring tool for Windows and Linux written in Go.
",https://lolrmm.io/tools/remmon,.*\\\\Remmon\.exe$,
MioNet (Also known as WD Anywhere Access),MioNet (Also known as WD Anywhere Access) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/mionet__also_known_as_wd_anywhere_access_,^mionet\.exe$|^mionetmanager\.exe$,
Jump Cloud,Jump Cloud is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/jump_cloud,^JumpCloud.*\.exe ,.*\.api\.jumpcloud\.com$|.*\.assist\.jumpcloud\.com$
Netop,Netop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/netop,.*\\Danware Data\\NetOp Packn Deploy\\.*|.*\\Netop Remote Control\\.*|C:\\Program Files\\Danware Data\\NetOp Packn Deploy\\.*,
N-Able Advanced Monitoring Agent,N-Able Advanced Monitoring Agent is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/n-able_advanced_monitoring_agent,^Agent_.*_RW\.exe$|^BASEClient\.exe$|^BASupApp\.exe$|^BASupSrvcCnfg\.exe$|^BASupSrvc\.exe$|^BASupTSHelper\.exe$|^winagent\.exe$,.*\.beanywhere\.com $|.*\.logicnow\.com$|.*\.n-able\.com$|.*\.swi-tc\.com$|.*cloudbackup\.management$|.*remote\.management$|.*system-monitor\.com$|.*systemmonitor\.co\.uk$|.*systemmonitor\.eu\.com$|.*systemmonitor\.us$|cloudbackup\.management$|logicnow\.com$|n-able\.com$|remote\.management$|system-monitor\.com$|systemmonitor\.co\.uk$|systemmonitor\.eu\.com$|systemmonitor\.us$|systemmonitor\.us\.cdn\.cloudflare\.net$
mRemoteNG,mRemoteNG is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/mremoteng,.*%\\mRemoteNG|.*\\mRemoteNG\.exe$|.*\\mRemoteNG\\.*|C:\\Program Files \(x86\)\\mRemoteNG\\.*|^mRemoteNG\.exe$|c:\\Program Files \(x86\)%\\mRemoteNG|mRemoteNG-Installer-.*\.msi,mremoteng\.org$
Senso.cloud,Senso.cloud is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/senso.cloud,^SensoClient\.exe$|^SensoService\.exe$|^aadg\.exe$,.*\.senso\.cloud$|senso\.cloud$
Syspectr,Syspectr is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/syspectr,^OOSysAgent\.exe$|^oo-syspectr.*\.exe$,app\.syspectr\.com$|atled\.syspectr\.com$
IntelliAdmin Remote Control,IntelliAdmin Remote Control is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/intelliadmin_remote_control,^agent32\.exe$|^agent64\.exe$|^agent_setup_5\.exe$|^iadmin\.exe$|^intelliadmin\.exe$,.*\.intelliadmin\.com$|intelliadmin\.com/remote-control$
Any Support,Any Support is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/any_support,^ManualLauncher\.exe$,.*\.anysupport\.net$
DeskDay,DeskDay is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/deskday,^ultimate_.*\.exe$,app\.deskday\.ai$|deskday\.ai$
Remote Desktop Plus,Remote Desktop Plus is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/remote_desktop_plus,^rdp\.exe$,donkz\.nl$
