Name,Description,LolRMMLink,PathRegex,DomainRegex
ngrok,ngrok is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/ngrok,.*\\ngrok.*|C:\\.*\\ngrok\.zip|^ngrok\.exe$,connect\.ap\.ngrok-agent\.com$|connect\.au\.ngrok-agent\.com$|connect\.eu\.ngrok-agent\.com$|connect\.in\.ngrok-agent\.com$|connect\.jp\.ngrok-agent\.com$|connect\.ngrok-agent\.com$|connect\.sa\.ngrok-agent\.com$|connect\.us\.ngrok-agent\.com$|ngrok\.com$
Remote Utilities,Remote Utilities is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/remote_utilities,^rutserv\.exe$|^rutview\.exe$,.*\.internetid\.ru$
RES Automation Manager,RES Automation Manager is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/res_automation_manager,^wisshell.*\.exe$|^wmc\.exe$|^wmc_deployer\.exe$|^wmcsvc\.exe$,ivanti\.com/$
Veyon,"Veyon (Virtual Eye On Networks) is a free and open-source remote monitoring and classroom management software designed for educational environments and remote support scenarios. It enables monitoring and controlling computers across multiple platforms, allowing administrators and teachers to view and control computer labs, interact with students, and provide remote technical support.
",https://lolrmm.io/tools/veyon,C:\\Program Files \(x86\)\\Veyon\\.*|C:\\Program Files\\Veyon\\.*|^veyon-master\.exe$|^veyon-server\.exe$|^veyon-service\.exe$|^veyon-wcli\.exe$|^veyon-worker\.exe$,
Free Tools Launcher,Free Tools Launcher is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/free_tools_launcher,.*\\ManageEngine\\.*|C:\\Program Files\\ManageEngine\\ManageEngine Free Tools\\Launcher\\.*,
Goverlan,Goverlan is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/goverlan,.*\\GovSrv\.exe$|.*\\PJ Technologies\\GOVsrv\\.*|C:\\Program Files \(x86\)\\PJ Technologies\\GOVsrv\\.*|^GovAgentInstallHelper\.exe$|^GovAgentx64\.exe$|^GovReachClient\.exe$|^goverrmc\.exe$|^govsrv.*\.exe$,goverlan\.com$
iDrive,"iDrive is a cloud backup and remote management software that has recently been observed being leveraged in social engineering campaigns, including invitation-themed and Social Security-related phishing lures, to establish unauthorized remote access on victim endpoints prior to the deployment of ScreenConnect. The tool installs as a Windows Scheduled Task and has been used as an initial access mechanism and staging point for secondary RMM deployment.",https://lolrmm.io/tools/idrive,C:\\Program Files \(x86\)\\IDrive\\.*|C:\\Program Files\\IDrive\\.*|C:\\ProgramData\\IDrive\\.*|C:\\Users\\.*\\AppData\\Local\\IDrive\\.*|C:\\Users\\.*\\Downloads\\IDriveWinSetup\.exe$|IDComponent\.dll|^IDriveEClassic\.exe$|^IDriveWinSetup\.exe$|^id_tray\.exe$,.*\.idrive\.com$|api\.idrive\.com$|idrive\.com$
Ivanti Remote Control,Ivanti Remote Control is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/ivanti_remote_control,^AgentlessRC\.exe$|^ArcUI\.exe$|^IvantiRemoteControl\.exe$,.*\.ivanticloud\.com$
HeartbeatRM,"HeartbeatRM is a remote monitoring and management (RMM) tool that has been observed being leveraged in social engineering campaigns, including invitation-themed and Social Security–related phishing lures, to establish unauthorised remote access on victim endpoints prior to the deployment of ScreenConnect. The tool installs as a Windows service and serves as an initial access mechanism and staging point for secondary RMM deployment. Note - Specific binary names and paths reported in threat intelligence could not be independently verified via VirusTotal or official documentation.",https://lolrmm.io/tools/heartbeatrm,.*\\HeartbeatRM\\.*|C:\\Program Files \(x86\)\\HeartbeatRM\\.*|C:\\Program Files\\HeartbeatRM\\.*|^agent-installer-any\.exe$|^hbrm-updater-x64\.exe$|^hbrm-x64\.exe$,.*\.heartbeatrm\.com$|heartbeatrm\.com$
LabTech RMM (Now ConnectWise Automate),LabTech RMM (Now ConnectWise Automate) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/labtech_rmm__now_connectwise_automate_,^ltsvc\.exe$|^ltsvcmon\.exe$|^lttray\.exe$,connectwise\.com$
EMCO Remote Console,EMCO Remote Console is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/emco_remote_console,^remoteconsole\.exe$,emcosoftware\.com$
Miradore,"Miradore is a mobile device management (MDM) and remote monitoring and management (RMM) tool founded in 2006 as a Finnish software company. In 2022, Miradore was acquired by GoTo and is now part of the LogMeIn portfolio of IT solutions. The tool is trusted by over 2,700 customers in more than 100 countries, managing over 900,000 devices globally. Miradore has been observed being used in cyber incidents, including phishing campaigns where the installer was renamed and delivered to establish unauthorized remote access.",https://lolrmm.io/tools/miradore,.*\\Miradore\\.*|C:\\Program Files\\Miradore\\OnlineClient\\bin\\.*,.*\.miradore\.com$|gateway\.miradore\.com$|gerwconline\.blob\.core\.windows\.net$|miradore\.com$
Solar-PuTTY,Solar-PuTTY is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/solar-putty,.*\\Solar-PuTTY\.exe$|.*\\Solar-Putty-v4\\.*|C:\\Program Files\\Solar-Putty-v4\\.*,
Xpra,Xpra is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/xpra,.*\\Xpra-Launcher\.exe$|.*\\Xpra-x86_64_Setup\.exe$|.*\\Xpra\\.*|C:\\Program Files \(x86\)\\Xpra\\.*,
Ultra VNC,Ultra VNC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/ultra_vnc,.*\\UVNC_Launch\.exe$|.*\\uvnc bvba\\UltraVNC\\.*|.*\\vncviewer\.exe$|.*\\winvnc\.exe$|C:\\Program Files\\uvnc bvba\\UltraVNC\\.*,
Naverisk,Naverisk is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/naverisk,^AgentSetup-.*\.exe$,naverisk\.com$
Tailscale,Tailscale is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/tailscale,^tailscale-.*\.exe$|^tailscale-ipn\.exe$|^tailscaled\.exe$,.*\.tailscale\.com$|.*\.tailscale\.io$|tailscale\.com$
Adobe Connect,Adobe Connect is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/adobe_connect,^ConnectAppSetup.*\.exe$|^ConnectDetector\.exe$|^ConnectShellSetup.*\.exe$|^Connect\.exe$,.*\.adobeconnect\.com$
Visual Studio Dev Tunnel,Visual Studio Dev Tunnel is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/visual_studio_dev_tunnel,,.*\.devtunnels\.ms$|.*\.rel\.tunnels\.api\.visualstudio\.com$|global\.rel\.tunnels\.api\.visualstudio\.com$
Encapto,Encapto is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/encapto,,encapto\.com$
PuTTY,PuTTY is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/putty,.*\\putty\.exe$,
CrossTec Remote Control,CrossTec Remote Control is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/crosstec_remote_control,PCIVIDEO\.EXE|^supporttool\.exe$,crosstecsoftware\.com/remotecontrol$
